Trx Number/ Cross Ref,Transaction Source,Transaction Class,Transaction Type,Complete,Status,Bill-to Customer,__amount_target_col__,Currency,Transaction Date,Operating Company (OpCo),Accounting Date,Batch Name,Bill-to Customer Site,Due Date,Primary Salesperson,Po Number,Bill-to Customer Account Number,Document Number
245041,Conversion,Invoice,Invoice,Yes,Complete,BRUCE HEATING & AIR CONDITIONING INC,1032,USD,2026-02-09 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3172,2026-03-11 00:00:00,Dorse House Account,32542,4289,1.510000004e+11
235447-2,Conversion,Invoice,Invoice,Yes,Complete,UPTOWN MECHANICAL,123.5,USD,2025-10-13 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3769,2025-11-12 00:00:00,Dorse House Account,Gene Jaurez,4202,1.510000014e+11
244949,Conversion,Invoice,Invoice,Yes,Complete,BRUCE HEATING & AIR CONDITIONING INC,3890,USD,2026-02-03 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3172,2026-03-05 00:00:00,Dorse House Account,32531,4289,1.510000004e+11
244920-2,Conversion,Invoice,Invoice,Yes,Complete,EVERGREEN REFRIGERATION LLC,21035,USD,2026-02-12 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3971,2026-03-14 00:00:00,Dorse House Account,BF928870,4103,1.510000003e+11
245256,Conversion,Invoice,Invoice,Yes,Complete,JRT MECHANICAL INC,2220,USD,2026-02-18 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4590,2026-03-20 00:00:00,Dorse House Account,1520,3188,1.510000012e+11
244776,Conversion,Invoice,Invoice,Yes,Complete,ENVIROMECH,77.46,USD,2026-01-29 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3007,2026-02-28 00:00:00,Dorse House Account,25-484,3868,1.510000013e+11
243378,Conversion,Invoice,Invoice,Yes,Complete,APOLLO MECHANICAL CONTRACTORS,119.83,USD,2025-12-23 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2169,2026-01-22 00:00:00,Dorse House Account,F1214-220-2000,3049,1.510000011e+11
244932,Conversion,Invoice,Invoice,Yes,Complete,EVERGREEN REFRIGERATION LLC,36.12,USD,2026-02-04 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3971,2026-03-06 00:00:00,Dorse House Account,jm928918,4103,1.510000004e+11
245263-1,Conversion,Invoice,Invoice,Yes,Complete,MACDONALD-MILLER FACILITY SOLUTIONS INC,32.28,USD,2026-02-12 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3412,2026-03-14 00:00:00,Dorse House Account,692126,3377,1.510000011e+11
244767,Conversion,Invoice,Invoice,Yes,Complete,HERMANSON COMPANY,139.2,USD,2026-01-30 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2628,2026-03-01 00:00:00,Dorse House Account,PO038100,4269,1.510000001e+11
